Year,Country,G,S,B,TOT
1900,British India,0,2,0,2
1920,Japan,0,2,0,2
1924,Japan,0,0,1,1
1928,Japan,2,2,1,5
1928,British India,1,0,0,1
1928,Philippines,0,0,1,1
1932,Japan,7,7,4,18
1932,Philippines,0,0,3,3
1932,British India,1,0,0,1
1936,Japan,6,4,10,20
1936,Turkey,1,0,1,2
1936,British India,1,0,0,1
1936,Philippines,0,0,1,1
1948,Turkey,6,4,2,12
1948,India,1,1,0,2
1948,South Korea,0,0,2,2
1948,Iran,0,0,1,1
1948,Sri Lanka,0,1,0,1
1952,Japan,1,6,2,9
1952,Iran,0,3,4,7
1952,Turkey,2,0,1,3
1952,India,1,0,1,2
1952,South Korea,0,0,2,2
1952,Lebanon,0,1,1,2
1956,Japan,4,10,5,19
1956,Turkey,3,2,2,7
1956,Iran,2,2,1,5
1956,South Korea,0,1,1,2
1956,India,1,0,0,1
1956,Pakistan,0,1,0,1
1960,Japan,4,7,7,18
1960,Turkey,7,2,0,9
1960,Iran,0,1,3,4
1960,Pakistan,1,0,1,2
1960,India,0,1,0,1
1960,Iraq,0,0,1,1
1960,Singapore,0,1,0,1
1960,Taiwan,0,1,0,1
1964,Japan,16,5,8,29
1964,Turkey,2,3,1,6
1964,South Korea,0,2,1,3
1964,Iran,0,0,2,2
1964,India,1,0,0,1
1964,Pakistan,0,1,0,1
1964,Philippines,0,1,0,1
1968,Japan,11,7,7,25
1968,Iran,2,1,2,5
1968,Mongolia,0,1,3,4
1968,South Korea,0,1,1,2
1968,Turkey,2,0,0,2
1968,India,0,0,1,1
1968,Pakistan,1,0,0,1
1968,Taiwan,0,0,1,1
1972,Japan,13,8,8,29
1972,North Korea,1,1,3,5
1972,Iran,0,2,1,3
1972,India,0,0,1,1
1972,South Korea,0,1,0,1
1972,Lebanon,0,1,0,1
1972,Mongolia,0,1,0,1
1972,Pakistan,0,1,0,1
1972,Turkey,0,1,0,1
1976,Japan,9,6,10,25
1976,South Korea,1,1,4,6
1976,Iran,0,1,1,2
1976,North Korea,1,1,0,2
1976,Mongolia,0,1,0,1
1976,Pakistan,0,0,1,1
1976,Thailand,0,0,1,1
1980,North Korea,0,3,2,5
1980,Mongolia,0,2,2,4
1980,India,1,0,0,1
1980,Lebanon,0,0,1,1
1984,China,15,8,9,32
1984,Japan,10,8,14,32
1984,South Korea,6,6,7,19
1984,Turkey,0,0,3,3
1984,Pakistan,1,0,0,1
1984,Syria,0,1,0,1
1984,Thailand,0,1,0,1
1984,Taiwan,0,0,1,1
1988,South Korea,12,10,11,33
1988,China,5,11,12,28
1988,Japan,4,3,7,14
1988,Turkey,1,1,0,2
1988,Indonesia,0,1,0,1
1988,Iran,0,1,0,1
1988,Mongolia,0,0,1,1
1988,Pakistan,0,0,1,1
1988,Philippines,0,0,1,1
1988,Thailand,0,0,1,1
1992,China,16,22,16,54
1992,South Korea,12,5,12,29
1992,Japan,3,8,11,22
1992,North Korea,4,0,5,9
1992,Turkey,2,2,2,6
1992,Indonesia,2,2,1,5
1992,Iran,0,1,2,3
1992,Israel,0,1,1,2
1992,Mongolia,0,0,2,2
1992,Malaysia,0,0,1,1
1992,Pakistan,0,0,1,1
1992,Philippines,0,0,1,1
1992,Qatar,0,0,1,1
1992,Thailand,0,0,1,1
1992,Taiwan,0,1,0,1
1996,China,16,22,12,50
1996,South Korea,7,15,5,27
1996,Japan,3,6,5,14
1996,Kazakhstan,3,4,4,11
1996,Turkey,4,1,1,6
1996,North Korea,2,1,2,5
1996,Indonesia,1,1,2,4
1996,Iran,1,1,1,3
1996,Malaysia,0,1,1,2
1996,Thailand,1,0,1,2
1996,Uzbekistan,0,1,1,2
1996,Hong Kong,1,0,0,1
1996,India,0,0,1,1
1996,Israel,0,0,1,1
1996,Mongolia,0,0,1,1
1996,Philippines,0,1,0,1
1996,Syria,1,0,0,1
1996,Taiwan,0,1,0,1
2000,China,28,16,15,59
2000,South Korea,8,10,10,28
2000,Japan,5,8,5,18
2000,Kazakhstan,3,4,0,7
2000,Indonesia,1,3,2,6
2000,Taiwan,0,1,4,5
2000,Turkey,3,0,2,5
2000,Iran,3,0,1,4
2000,North Korea,0,1,3,4
2000,Uzbekistan,1,1,2,4
2000,Thailand,1,0,2,3
2000,Saudi Arabia,0,1,1,2
2000,India,0,0,1,1
2000,Israel,0,0,1,1
2000,Kyrgyzstan,0,0,1,1
2000,Kuwait,0,0,1,1
2000,Qatar,0,0,1,1
2000,Sri Lanka,0,1,0,1
2000,Vietnam,0,1,0,1
2004,China,32,17,14,63
2004,Japan,16,9,12,37
2004,South Korea,9,12,9,30
2004,Turkey,3,3,4,10
2004,Kazakhstan,1,4,3,8
2004,Thailand,3,1,4,8
2004,Iran,2,2,2,6
2004,North Korea,0,4,1,5
2004,Taiwan,2,2,1,5
2004,Uzbekistan,2,1,2,5
2004,Indonesia,1,1,2,4
2004,Israel,1,0,1,2
2004,Hong Kong,0,1,0,1
2004,India,0,1,0,1
2004,Mongolia,0,0,1,1
2004,Syria,0,0,1,1
2004,United Arab Emirates,1,0,0,1
2008,China,51,21,28,100
2008,South Korea,13,10,8,31
2008,Japan,9,5,9,23
2008,Kazakhstan,2,4,6,12
2008,Turkey,1,4,3,8
2008,North Korea,2,1,3,6
2008,Uzbekistan,1,2,3,6
2008,Indonesia,1,1,3,5
2008,Mongolia,2,2,0,4
2008,Thailand,2,2,0,4
2008,Taiwan,0,0,4,4
2008,India,1,0,2,3
2008,Kyrgyzstan,0,1,1,2
2008,Tajikistan,0,1,1,2
2008,Afghanistan,0,0,1,1
2008,Bahrain,1,0,0,1
2008,Israel,0,0,1,1
2008,Malaysia,0,1,0,1
2008,Singapore,0,1,0,1
2008,Vietnam,0,1,0,1
2012,China,38,27,23,88
2012,South Korea,13,8,7,28
2012,Japan,7,14,17,38
2012,Kazakhstan,7,1,5,13
2012,Iran,4,5,3,12
2012,North Korea,4,0,2,6
2012,Turkey,2,2,1,5
2012,Uzbekistan,1,0,3,4
2012,India,0,2,4,6
2012,Mongolia,0,2,3,5
2012,Thailand,0,2,1,3
2012,Indonesia,0,1,1,2
2012,Malaysia,0,1,1,2
2012,Taipei,0,1,1,2
2012,Qatar,0,0,2,2
2012,Singapore,0,0,2,2
2012,Afghanistan,0,0,1,1
2012,Bahrain,0,0,1,1
2012,Hong Kong,0,0,1,1
2012,Saudi Arabia,0,0,1,1
2012,Kuwait,0,0,1,1
2012,Tajikistan,0,0,1,1
