Year,Country,G,S,B,TOT
1896,United States,11,7,2,20
1900,United States,19,14,15,48
1900,Canada,1,0,1,2
1900,Cuba,1,1,0,2
1900,Mexico,0,0,1,1
1904,United States,78,82,79,239
1904,Cuba,4,2,3,9
1904,Canada,4,1,1,6
1908,United States,23,12,12,47
1908,Canada,3,3,10,16
1912,United States,26,19,19,64
1912,Canada,3,2,3,8
1920,United States,41,27,27,95
1920,Canada,3,3,3,9
1924,United States,45,27,27,99
1924,Canada,0,3,1,4
1924,Haiti,0,0,1,1
1928,United States,22,18,16,56
1928,Canada,4,4,7,15
1928,Haiti,0,1,0,1
1932,United States,44,36,30,110
1932,Canada,2,5,9,16
1932,Mexico,0,2,0,2
1936,United States,24,21,12,57
1936,Canada,1,3,5,9
1936,Mexico,0,0,3,3
1948,United States,38,27,19,84
1948,Mexico,2,1,2,5
1948,Canada,0,2,2,4
1948,Jamaica,1,2,0,3
1948,Panama,0,0,2,2
1948,Cuba,0,1,0,1
1948,Puerto Rico,0,0,1,1
1948,Trinidad & Tobago,0,1,0,1
1952,United States,40,19,17,76
1952,Jamaica,2,3,0,5
1952,Canada,1,2,0,3
1952,Trinidad & Tobago,0,0,2,2
1952,Mexico,0,1,0,1
1956,United States,32,25,17,74
1956,Canada,2,1,3,6
1956,Mexico,1,0,1,2
1956,Bahamas,0,0,1,1
1960,United States,34,21,16,71
1960,British West Indies,0,0,2,2
1960,Canada,0,1,0,1
1960,Mexico,0,0,1,1
1964,United States,36,26,28,90
1964,Canada,1,2,1,4
1964,Trinidad & Tobago,0,1,2,3
1964,Bahamas,1,0,0,1
1964,Cuba,0,1,0,1
1964,Mexico,0,0,1,1
1968,United States,45,28,34,107
1968,Mexico,3,3,3,9
1968,Canada,1,3,1,5
1968,Cuba,0,4,0,4
1968,Jamaica,0,1,0,1
1972,United States,33,31,30,94
1972,Cuba,3,1,4,8
1972,Canada,0,2,3,5
1972,Jamaica,0,0,1,1
1972,Mexico,0,1,0,1
1976,United States,34,35,25,94
1976,Cuba,6,4,3,13
1976,Canada,0,5,6,11
1976,Jamaica,1,1,0,2
1976,Mexico,1,0,1,2
1976,Bermuda,0,0,1,1
1976,Puerto Rico,0,0,1,1
1976,Trinidad & Tobago,1,0,0,1
1980,Cuba,8,7,5,20
1980,Mexico,0,1,3,4
1980,Jamaica,0,0,3,3
1984,United States,83,61,30,174
1984,Canada,10,18,16,44
1984,Mexico,2,3,1,6
1984,Jamaica,0,1,2,3
1984,Puerto Rico,0,1,1,2
1984,Dominican Republic,0,0,1,1
1988,United States,36,31,27,94
1988,Canada,3,2,5,10
1988,Jamaica,0,2,0,2
1988,Mexico,0,0,2,2
1988,Netherland Antilles,0,1,0,1
1988,Costa Rica,0,1,0,1
1988,Virgin Islands,0,1,0,1
1992,United States,37,34,37,108
1992,Cuba,14,6,11,31
1992,Canada,7,4,7,18
1992,Jamaica,0,3,1,4
1992,Bahamas,0,0,1,1
1992,Mexico,0,1,0,1
1992,Puerto Rico,0,0,1,1
1996,United States,44,32,25,101
1996,Cuba,9,8,8,25
1996,Canada,3,11,8,22
1996,Jamaica,1,3,2,6
1996,Trinidad & Tobago,0,0,2,2
1996,Bahamas,0,1,0,1
1996,Costa Rica,1,0,0,1
1996,Mexico,0,0,1,1
1996,Puerto Rico,0,0,1,1
2000,United States,37,24,31,92
2000,Cuba,11,11,7,29
2000,Canada,3,3,8,14
2000,Jamaica,0,5,4,9
2000,Mexico,1,2,3,6
2000,Bahamas,2,0,0,2
2000,Costa Rica,0,0,2,2
2000,Trinidad & Tobago,0,1,1,2
2000,Barbados,0,0,1,1
2004,United States,36,39,28,103
2004,Cuba,9,7,11,27
2004,Canada,3,6,3,12
2004,Jamaica,2,1,2,5
2004,Mexico,0,3,1,4
2004,Bahamas,1,0,1,2
2004,Dominican Republic,1,0,0,1
2004,Trinidad & Tobago,0,0,1,1
2008,United States,36,38,36,110
2008,Cuba,2,11,12,25
2008,Canada,3,9,6,18
2008,Jamaica,6,2,2,10
2008,Mexico,2,0,1,3
2008,Bahamas,0,1,1,2
2008,Dominican Republic,1,1,0,2
2008,Trinidad & Tobago,0,2,0,2
2008,Panama,1,0,0,1
2012,United States,46,29,29,104
2012,Cuba,5,3,6,14
2012,Jamaica,4,4,4,12
2012,Canada,1,5,12,18
2012,Mexico,1,3,3,7
2012,Dominican Republic,1,1,0,2
2012,Trinidad & Tobago,1,0,3,4
2012,Bahamas,1,0,0,1
2012,Grenada,1,0,0,1
2012,Puerto Rico,0,1,1,2
2012,Guatemala,0,1,0,1
