Year,Host City,Host Country,Country,Continent,Country Code,Participants,Notes,,,
1896,Athens,Greece,Australia,Oceania,AUS,1,,,,
1896,Athens,Greece,Bulgaria,Europe,BGR,1,Their one competitor was a Swiss national living in Bulgaria at the time.,,,
1896,Athens,Greece,Chile,South America,CHL,1,,,,
1896,Athens,Greece,Italy,Europe,ITA,1,,,,
1896,Athens,Greece,Sweden,Europe,SWE,1,,,,
1896,Athens,Greece,Austria,Europe,AUT,3,,,,
1896,Athens,Greece,Denmark,Europe,DNK,3,,,,
1896,Athens,Greece,Switzerland,Europe,CHE,3,,,,
1896,Athens,Greece,Hungary,Europe,HUN,7,,,,
1896,Athens,Greece,Great Britain,Europe,GBR,10,,,,
1896,Athens,Greece,France,Europe,FRA,13,,,,
1896,Athens,Greece,United States,North America,USA,14,,,,
1896,Athens,Greece,Germany,Europe,DEU,19,,,,
1896,Athens,Greece,Greece,Europe,GRC,169,Host country,,,
1900,Paris,France,Argentina,South America,ARG,1,,,,
1900,Paris,France,Brazil,South America,BRA,1,Disputed participant,,,
1900,Paris,France,Colombia,South America,COL,1,Disputed participant,,,
1900,Paris,France,Cuba,North America,CUB,1,,,,
1900,Paris,France,India,Asia,IND,1,,,,
1900,Paris,France,Luxembourg,Europe,LUX,1,Disputed participant,,,
1900,Paris,France,New Zealand,Oceania,NZL,1,Disputed participant,,,
1900,Paris,France,Romania,Europe,ROU,1,,,,
1900,Paris,France,Australia,Oceania,AUS,2,,,,
1900,Paris,France,Canada,North America,CAN,2,,,,
1900,Paris,France,Greece,Europe,GRC,3,,,,
1900,Paris,France,Mexico,North America,MEX,4,,,,
1900,Paris,France,Russia,Europe,RUS,5,,,,
1900,Paris,France,Czech Republic,Europe,CZE,7,Known as Bohemia at the time,,,
1900,Paris,France,Norway,Europe,NOR,7,,,,
1900,Paris,France,Spain,Europe,ESP,8,,,,
1900,Paris,France,Sweden,Europe,SWE,10,,,,
1900,Paris,France,Austria,Europe,AUT,13,,,,
1900,Paris,France,Denmark,Europe,DNK,13,,,,
1900,Paris,France,Switzerland,Europe,CHE,18,,,,
1900,Paris,France,Hungary,Europe,HUN,20,,,,
1900,Paris,France,Italy,Europe,ITA,24,,,,
1900,Paris,France,Netherlands,Europe,NLD,29,,,,
1900,Paris,France,United States,North America,USA,75,,,,
1900,Paris,France,Belgium,Europe,BEL,78,,,,
1900,Paris,France,Germany,Europe,DEU,78,,,,
1900,Paris,France,Great Britain,Europe,GBR,102,,,,
1900,Paris,France,France,Europe,FRA,689,Host country,,,
1900,Paris,France,Haiti,North America,HTI,,Disputed participant,,,
1900,Paris,France,Iran,Asia,IRN,,Disputed participant,,,
1900,Paris,France,Peru,South America,PER,,Disputed participant,,,
1904,St. Louis,United States,France,Europe,FRA,1,,,,
1904,St. Louis,United States,Italy,Europe,ITA,1,Disputed participant,,,
1904,St. Louis,United States,Austria,Europe,AUT,2,,,,
1904,St. Louis,United States,Norway,Europe,NOR,2,Disputed participant,,,
1904,St. Louis,United States,Switzerland,Europe,CHE,2,,,,
1904,St. Louis,United States,Australia,Oceania,AUS,3,,,,
1904,St. Louis,United States,Cuba,North America,CUB,3,,,,
1904,St. Louis,United States,Hungary,Europe,HUN,4,,,,
1904,St. Louis,United States,Great Britain,Europe,GBR,6,,,,
1904,St. Louis,United States,South Africa,Africa,ZAF,8,,,,
1904,St. Louis,United States,Greece,Europe,GRC,14,,,,
1904,St. Louis,United States,Germany,Europe,DEU,22,,,,
1904,St. Louis,United States,Canada,North America,CAN,56,,,,
1904,St. Louis,United States,United States,North America,USA,526,Host country,,,
1908,London,United Kingdom,Argentina,South America,ARG,1,,,,
1908,London,United Kingdom,Turkey,Asia,TUR,1,Disputed participant,,,
1908,London,United Kingdom,Russia,Europe,RUS,6,,,,
1908,London,United Kingdom,Greece,Europe,GRC,20,,,,
1908,London,United Kingdom,Australia,Oceania,,32,Part of Australasia at the time,,,
1908,London,United Kingdom,New Zealand,Oceania,,32,Part of Australasia at the time,,,
1908,London,United Kingdom,Papua New Guinea,Oceania,,32,Part of Australasia at the time,,,
1908,London,United Kingdom,Indonesia,Oceania,,32,Part of Australasia at the time,,,
1908,London,United Kingdom,Hungary,Europe,HUN,63,,,,
1908,London,United Kingdom,Finland,Europe,FIN,67,,,,
1908,London,United Kingdom,Italy,Europe,ITA,68,,,,
1908,London,United Kingdom,Norway,Europe,NOR,69,,,,
1908,London,United Kingdom,Denmark,Europe,DNK,81,,,,
1908,London,United Kingdom,Germany,Europe,DEU,81,,,,
1908,London,United Kingdom,Canada,North America,CAN,87,,,,
1908,London,United Kingdom,Belgium,Europe,BEL,88,,,,
1908,London,United Kingdom,United States,North America,USA,122,,,,
1908,London,United Kingdom,France,Europe,FRA,363,,,,
1908,London,United Kingdom,Great Britain,Europe,GBR,676,"Host country; technically ""Great Britian & Ireland"" at this time, because Ireland felt they should compete as their own team.",,,
1908,London,United Kingdom,Austria,Europe,AUT,,,,,
1908,London,United Kingdom,Czech Republic,Europe,CZE,,Known as Bohemia at the time,,,
1908,London,United Kingdom,Netherlands,Europe,NLD,,,,,
1908,London,United Kingdom,South Africa,Africa,ZAF,,,,,
1908,London,United Kingdom,Sweden,Europe,SWE,,,,,
1908,London,United Kingdom,Switzerland,Europe,CHE,,,,,
1912,Stockholm,Sweden,Egypt,Africa,EGY,1,First appearance at the Olympic Games,,,
1912,Stockholm,Sweden,Iceland,Europe,ISL,2,,,,
1912,Stockholm,Sweden,Japan,Asia,JPN,2,Japan is the first appearance of an Asian country at the Olympic Games this year.,,,
1912,Stockholm,Sweden,Serbia,Europe,SRB,2,This is the only time Serbia appears at the Games as an independent nation until 2008.,,,
1912,Stockholm,Sweden,Turkey,Asia,TUR,2,Participants were actually from Armenia,,,
1912,Stockholm,Sweden,Belgium,Europe,BEL,6,,,,
1912,Stockholm,Sweden,Portugal,Europe,PRT,6,First appearance at the Olympic Games,,,
1912,Stockholm,Sweden,Switzerland,Europe,CHE,7,,,,
1912,Stockholm,Sweden,Austria,Europe,AUT,11,,,,
1912,Stockholm,Sweden,Chile,South America,CHL,14,First appearance at the Olympic Games as a national team,,,
1912,Stockholm,Sweden,Luxembourg,Europe,LUX,21,,,,
1912,Stockholm,Sweden,South Africa,Africa,ZAF,21,,,,
1912,Stockholm,Sweden,Greece,Europe,GRC,22,,,,
1912,Stockholm,Sweden,Australia,Oceania,,26,Part of Australasia at the time,,,
1912,Stockholm,Sweden,New Zealand,Oceania,,26,Part of Australasia at the time,,,
1912,Stockholm,Sweden,Indonesia,Oceania,,26,Part of Australasia at the time,,,
1912,Stockholm,Sweden,Papua New Guinea,Oceania,,26,Part of Australasia at the time,,,
1912,Stockholm,Sweden,Netherlands,Europe,NLD,33,,,,
1912,Stockholm,Sweden,Canada,North America,CAN,36,,,,
1912,Stockholm,Sweden,Czech Republic,Europe,CZE,39,Known as Bohemia at the time,,,
1912,Stockholm,Sweden,Italy,Europe,ITA,68,,,,
1912,Stockholm,Sweden,France,Europe,FRA,112,,,,
1912,Stockholm,Sweden,Hungary,Europe,HUN,119,,,,
1912,Stockholm,Sweden,Sweden,Europe,SWE,144,,,,
1912,Stockholm,Sweden,Denmark,Europe,DNK,152,,,,
1912,Stockholm,Sweden,Russia,Europe,RUS,159,,,,
1912,Stockholm,Sweden,Finland,Europe,FIN,164,,,,
1912,Stockholm,Sweden,United States,North America,USA,174,,,,
1912,Stockholm,Sweden,Germany,Europe,DEU,187,,,,
1912,Stockholm,Sweden,Norway,Europe,NOR,191,,,,
1912,Stockholm,Sweden,Great Britain,Europe,GBR,279,,,,
1920,Antwerp,Belgium,Argentina,South America,ARG,1,,,,
1920,Antwerp,Belgium,Chile,South America,CHL,2,,,,
1920,Antwerp,Belgium,Portugal,Europe,PRT,3,,,,
1920,Antwerp,Belgium,Monaco,Europe,MCO,4,,,,
1920,Antwerp,Belgium,New Zealand,Oceania,NZL,4,,,,
1920,Antwerp,Belgium,India,Asia,IND,5,,,,
1920,Antwerp,Belgium,Yugoslavia,Europe,MKD,12,,,,
1920,Antwerp,Belgium,Australia,Oceania,AUS,13,,,,
1920,Antwerp,Belgium,Estonia,Europe,EST,14,,,,
1920,Antwerp,Belgium,Japan,Asia,JPN,15,,,,
1920,Antwerp,Belgium,Brazil,South America,BRA,21,,,,
