Year,Country,G,S,B,TOT
1920,Brazil,1,1,1,3
1924,Argentina,1,3,2,6
1924,Uruguay,1,0,0,1
1928,Argentina,3,3,1,7
1928,Chile,0,1,0,1
1928,Uruguay,1,0,0,1
1932,Argentina,3,1,0,4
1932,Uruguay,0,0,1,1
1936,Argentina,2,2,3,7
1948,Argentina,3,3,1,7
1948,Uruguay,0,1,1,2
1948,Brazil,0,0,1,1
1948,Peru,1,0,0,1
1952,Argentina,1,2,2,5
1952,Brazil,1,0,2,3
1952,Chile,0,2,0,2
1952,Uruguay,0,0,2,2
1952,Venezuela,0,0,1,1
1956,Chile,0,2,2,4
1956,Argentina,0,1,1,2
1956,Brazil,1,0,0,1
1956,Uruguay,0,0,1,1
1960,Argentina,0,1,1,2
1960,Brazil,0,0,2,2
1960,Venezuela,0,0,1,1
1964,Argentina,0,1,0,1
1964,Brazil,0,0,1,1
1964,Uruguay,0,0,1,1
1968,Brazil,0,1,2,3
1968,Argentina,0,0,2,2
1968,Venezuela,1,0,0,1
1972,Colombia,0,1,2,3
1972,Brazil,0,0,2,2
1972,Argentina,0,1,0,1
1976,Brazil,0,0,2,2
1976,Venezuela,0,1,0,1
1980,Brazil,2,0,2,4
1980,Guyana,0,0,1,1
1980,Venezuela,0,1,0,1
1984,Brazil,1,5,2,8
1984,Venezuela,0,0,3,3
1984,Colombia,0,1,0,1
1984,Peru,0,1,0,1
1988,Brazil,1,2,3,6
1988,Argentina,0,1,1,2
1988,Chile,0,1,0,1
1988,Colombia,0,0,1,1
1988,Peru,0,1,0,1
1988,Suriname,1,0,0,1
1992,Brazil,2,1,0,3
1992,Argentina,0,0,1,1
1992,Colombia,0,0,1,1
1992,Peru,0,1,0,1
1992,Suriname,0,0,1,1
1996,Brazil,3,3,9,15
1996,Argentina,0,2,1,3
1996,Ecuador,1,0,0,1
2000,Brazil,0,6,6,12
2000,Argentina,0,2,2,4
2000,Chile,0,0,1,1
2000,Colombia,1,0,0,1
2000,Uruguay,0,1,0,1
2004,Brazil,5,2,3,10
2004,Argentina,2,0,4,6
2004,Chile,2,0,1,3
2004,Venezuela,0,0,2,2
2004,Colombia,0,0,1,1
2004,Paraguay,0,1,0,1
2008,Brazil,3,4,7,14
2008,Argentina,2,0,4,6
2008,Colombia,0,1,1,2
2008,Chile,0,1,0,1
2008,Ecuador,0,1,0,1
2008,Venezuela,0,0,1,1
2012,Brazil,3,5,9,17
2012,Colombia,1,3,4,8
2012,Argentina,1,1,2,4
2012,Venezuela,1,0,0,1
